Age;Gender;MarStat;Housing;Educ;Inc_Gr;Children;IQ;Client;rate;cost_type;Default_flg
18;0;4;2;3;3;1;61,28075838;544;0,052944188;www;0
23;0;1;1;3;3;1;72,22430325;665;0,052944188;www;0
25;0;1;2;3;3;1;86,5569109;2692;0,052944188;www;0
22;0;4;2;3;3;1;70,03296361;3227;0,052944188;www;1
25;0;4;2;3;3;1;81,05619705;3491;0,052944188;www;0
23;0;4;1;3;3;1;77,58678035;3549;0,052944188;www;1
24;0;1;2;3;3;1;79,82782115;3741;0,052944188;www;0
18;0;1;1;3;3;1;62,46070242;3853;0,052944188;www;0
21;0;4;1;3;3;1;74,30894306;4090;0,052944188;www;0
26;0;4;1;3;3;1;80,23619719;4264;0,052944188;www;1
19;0;1;2;3;3;1;67,52088635;4306;0,052944188;www;1
27;0;4;1;3;3;1;86,07479517;4398;0,052944188;www;0
25;0;4;1;3;3;1;83,77412551;4444;0,052944188;www;1
25;0;4;1;3;3;1;85,23825919;5449;0,052944188;www;0
22;0;1;1;3;3;1;73,45599106;7709;0,052944188;www;0
25;0;1;2;3;3;1;80,05579556;7761;0,052944188;www;0
25;0;1;2;3;3;1;79,96663045;8563;0,052944188;www;0
23;0;1;2;3;3;2;61,43547149;1307;0,052944188;www;0
24;0;4;2;3;3;0;80,67990491;1491;0,052944188;www;0
18;0;4;2;3;3;2;61,17682664;1721;0,052944188;www;1
21;0;4;2;3;3;2;70,07511393;2736;0,052944188;www;1
22;0;4;2;3;3;2;73,24394851;3090;0,052944188;www;0
27;0;1;2;3;3;2;88,52357156;4064;0,052944188;www;0
23;0;1;1;3;3;0;74,15300555;4110;0,052944188;www;0
20;0;4;2;3;3;0;62,60995565;4559;0,052944188;www;0
18;0;4;2;3;3;0;69,49479557;5071;0,052944188;www;0
21;0;1;1;3;3;3;72,73601483;5222;0,052944188;www;0
23;0;4;1;3;3;2;75,76420695;5428;0,052944188;www;0
23;0;4;1;3;3;0;70,48949451;5739;0,052944188;www;0
27;0;4;1;3;3;0;76,624254;5765;0,052944188;www;0
22;0;4;1;3;3;2;71,06492815;6245;0,052944188;www;1
24;0;1;1;3;3;2;81,77980018;6679;0,052944188;www;1
21;0;1;1;3;3;2;78,24375048;6786;0,052944188;www;0
23;0;1;2;3;3;2;77,8973469;6790;0,052944188;www;1
27;0;1;1;3;3;2;91,62669876;7678;0,052944188;www;0
22;0;1;1;3;3;0;78,67829684;7964;0,052944188;www;0
25;0;4;1;3;3;0;83,1610679;8086;0,052944188;www;0
27;0;1;1;3;3;2;81,63503367;8150;0,052944188;www;1
26;0;1;2;3;3;0;83,75297304;8312;0,052944188;www;0
25;0;1;1;3;3;2;76,87238063;9045;0,052944188;www;1
27;0;1;2;3;4;1;96,81012142;1327;0,067385564;www;0
21;0;4;1;3;4;1;63,56034418;2768;0,067385564;www;0
23;0;1;1;3;4;1;76,89826555;2854;0,067385564;www;0
25;0;1;1;3;4;1;85,10408179;3036;0,067385564;www;0
23;0;4;1;3;4;1;80,34208712;5943;0,067385564;www;1
23;0;1;2;3;4;1;77,32112467;7425;0,067385564;www;0
26;0;1;1;3;4;1;90,15360563;7557;0,067385564;www;0
25;0;1;2;3;4;1;91,90381592;8806;0,067385564;www;1
18;0;1;2;3;4;1;64,55664803;9343;0,067385564;www;1
21;0;1;2;3;4;1;66,97554801;9816;0,067385564;www;0
18;0;1;2;3;4;1;70,92412429;9863;0,067385564;www;0
23;0;1;1;3;4;2;82,38727844;1602;0,067385564;www;1
